"","source","lon","lat","z","Tg","PPFD","vpd","alpha","nhx","noy","ndep","nre","pft"
"82","Du",-106.78,32.48,1399,21.8010271225774,550.188321491308,1.93784000218355,0.726269423186753,0.401260903007106,0.248133513488268,0.649394416495373,0.3966666667,"forest"
"83","Du",-106.75,32.62,1315,22.2123017141734,550.625863635971,1.97784786414136,0.717098584417082,0.401260903007106,0.248133513488268,0.649394416495373,0.533,"forest"
"84","Du",111.93,33.47,1313,13.0539171837668,383.535691746322,0.883841748277397,0.969425168351175,0.822108529115978,0.908330600512655,1.73043912962863,0.637,"forest"
"85","Du",120.48,33.58,0,17.6406891970496,399.921965044203,0.785784938418048,0.990241064001549,0.727235928962105,0.84202033595035,1.56925626491245,0.4948,"forest"
"86","Du",107.42,33.9,2536,7.87851660420863,381.529804546835,0.621606407092124,0.97356885234066,0.756922794015784,0.673374150928698,1.43029694494448,0.645632,"forest"
"87","Du",107.35,34.04,1746,11.5024100273296,374.26088379369,0.729912800644553,0.972409946575321,0.752243189435256,0.631120132772546,1.3833633222078,0.7490416,"forest"
"88","Du",-83,35,513,18.3665174420711,421.608084027797,0.984051494227726,0.985419147751239,0.196235077161538,0.950228644044776,1.14646372120631,0.46,"forest"
"89","Du",119.63,35.54,0,16.2759265733393,417.119324792111,0.788003606084825,0.965342470447493,0.428110361099243,0.550960962709628,0.979071323808871,0.493,"forest"
"90","Du",-79.83,35.97,255,18.8767705094249,421.314615453602,1.05543641012998,0.984197768441389,0.213483484167802,1.05171879969145,1.26520228385925,0.66362,"forest"
"91","Du",40.71,36.05,275,24.2405932959091,515.564526313678,2.44327826866898,0.737028744674293,0.402685339513578,0.272932556114699,0.675617895628277,0.564936,"forest"
"92","Du",109.17,36.08,1208,14.1413027338031,422.346117246041,1.01548597352034,0.917905369084641,0.722359594545866,0.514329988705485,1.23668958325135,0.4828955,"forest"
"93","Du",-122.98,36.65,0,17.9842880539964,498.353203560601,0.85660472465844,0.792044078199207,0.0537274564175229,0.302852999222906,0.356580455640429,0.5693511667,"forest"
"94","Du",107.17,37.62,1601,12.4021853357123,466.914424852291,1.00805285926324,0.811738603726042,0.694856380161486,0.386369280124965,1.08122566028645,0.6602928,"forest"
"95","Du",-119.67,38.67,2257,12.8537280367654,508.185357659797,1.19314626288245,0.807358148221353,0.0968616883221426,0.286973187797948,0.38383487612009,0.494,"forest"
